,Country/Region,Province/State,Date,Case_Type,Cases,Long,Lat,Difference,Last_Update_Date
0,Afghanistan,,2020-01-22,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
1,Afghanistan,,2020-01-23,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
2,Afghanistan,,2020-01-24,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
3,Afghanistan,,2020-01-25,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
4,Afghanistan,,2020-01-26,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
5,Afghanistan,,2020-01-27,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
6,Afghanistan,,2020-01-28,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
7,Afghanistan,,2020-01-29,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
8,Afghanistan,,2020-01-30,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
9,Afghanistan,,2020-01-31,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
10,Afghanistan,,2020-02-01,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
11,Afghanistan,,2020-02-02,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
12,Afghanistan,,2020-02-03,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
13,Afghanistan,,2020-02-04,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
14,Afghanistan,,2020-02-05,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
15,Afghanistan,,2020-02-06,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
16,Afghanistan,,2020-02-07,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
17,Afghanistan,,2020-02-08,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
18,Afghanistan,,2020-02-09,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
19,Afghanistan,,2020-02-10,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
20,Afghanistan,,2020-02-11,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
21,Afghanistan,,2020-02-12,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
22,Afghanistan,,2020-02-13,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
23,Afghanistan,,2020-02-14,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
24,Afghanistan,,2020-02-15,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
25,Afghanistan,,2020-02-16,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
26,Afghanistan,,2020-02-17,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
27,Afghanistan,,2020-02-18,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
28,Afghanistan,,2020-02-19,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
29,Afghanistan,,2020-02-20,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
30,Afghanistan,,2020-02-21,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
31,Afghanistan,,2020-02-22,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
32,Afghanistan,,2020-02-23,Confirmed,0,65.0,33.0,0,2020-03-16 12:08:25
33,Afghanistan,,2020-02-24,Confirmed,1,65.0,33.0,1,2020-03-16 12:08:25
34,Afghanistan,,2020-02-25,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
35,Afghanistan,,2020-02-26,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
36,Afghanistan,,2020-02-27,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
37,Afghanistan,,2020-02-28,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
38,Afghanistan,,2020-02-29,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
39,Afghanistan,,2020-03-01,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
40,Afghanistan,,2020-03-02,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
41,Afghanistan,,2020-03-03,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
42,Afghanistan,,2020-03-04,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
43,Afghanistan,,2020-03-05,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
44,Afghanistan,,2020-03-06,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
45,Afghanistan,,2020-03-07,Confirmed,1,65.0,33.0,0,2020-03-16 12:08:25
46,Afghanistan,,2020-03-08,Confirmed,4,65.0,33.0,3,2020-03-16 12:08:25
47,Afghanistan,,2020-03-09,Confirmed,4,65.0,33.0,0,2020-03-16 12:08:25
48,Afghanistan,,2020-03-10,Confirmed,5,65.0,33.0,1,2020-03-16 12:08:25
49,Afghanistan,,2020-03-11,Confirmed,7,65.0,33.0,2,2020-03-16 12:08:25
50,Afghanistan,,2020-03-12,Confirmed,7,65.0,33.0,0,2020-03-16 12:08:25
51,Afghanistan,,2020-03-13,Confirmed,7,65.0,33.0,0,2020-03-16 12:08:25
52,Afghanistan,,2020-03-14,Confirmed,11,65.0,33.0,4,2020-03-16 12:08:25
53,Afghanistan,,2020-03-15,Confirmed,16,65.0,33.0,5,2020-03-16 12:08:25
54,Albania,,2020-01-22,Confirmed,0,20.1683,41.1533,0,2020-03-16 12:08:25
55,Albania,,2020-01-23,Confirmed,0,20.1683,41.1533,0,2020-03-16 12:08:25
56,Albania,,2020-01-24,Confirmed,0,20.1683,41.1533,0,2020-03-16 12:08:25
57,Albania,,2020-01-25,Confirmed,0,20.1683,41.1533,0,2020-03-16 12:08:25
58,Albania,,2020-01-26,Confirmed,0,20.1683,41.1533,0,2020-03-16 12:08:25
